Date,Close,Return
2017-03-31,1.3318,-0.172401
2017-04-03,1.3381,0.473044
2017-04-04,1.3402,0.156939
2017-04-05,1.3435,0.246232
2017-04-06,1.3413,-0.163751
2017-04-07,1.3398,-0.111832
2017-04-10,1.3326,-0.537394
2017-04-11,1.3325,-0.007504
2017-04-12,1.3254,-0.532833
2017-04-13,1.3329,0.565867
2017-04-14,1.3325,-0.03001
2017-04-17,1.3317,-0.060038
2017-04-18,1.338,0.47308
2017-04-19,1.3485,0.784753
2017-04-20,1.3469,-0.11865
2017-04-21,1.3498,0.215309
2017-04-24,1.3501,0.022226
2017-04-25,1.3572,0.525887
2017-04-26,1.3617,0.331565
2017-04-27,1.3633,0.1175
2017-04-28,1.3653,0.146703
2017-05-01,1.3681,0.205083
2017-05-02,1.3709,0.204663
2017-05-03,1.373,0.153184
2017-05-04,1.3749,0.138383
2017-05-05,1.3652,-0.705506
2017-05-08,1.3691,0.285672
2017-05-09,1.372,0.211818
2017-05-10,1.3656,-0.466472
2017-05-11,1.3697,0.300234
2017-05-12,1.371,0.094911
2017-05-15,1.3633,-0.561634
2017-05-16,1.3606,-0.198049
2017-05-17,1.3602,-0.029399
2017-05-18,1.3603,0.007352
2017-05-19,1.3511,-0.676321
2017-05-22,1.3503,-0.059211
2017-05-23,1.3514,0.081463
2017-05-24,1.3407,-0.791771
2017-05-25,1.3485,0.581786
2017-05-26,1.3446,-0.28921
2017-05-29,1.3452,0.044623
2017-05-30,1.3459,0.052037
2017-05-31,1.35,0.304629
2017-06-01,1.3515,0.111111
2017-06-02,1.3487,-0.207177
2017-06-05,1.3473,-0.103804
2017-06-06,1.3455,-0.133601
2017-06-07,1.3509,0.401338
2017-06-08,1.3506,-0.022207
2017-06-09,1.347,-0.266548
2017-06-12,1.3324,-1.08389
2017-06-13,1.3242,-0.615431
2017-06-14,1.3247,0.037759
2017-06-15,1.3269,0.166075
2017-06-16,1.3213,-0.422036
2017-06-19,1.3219,0.04541
2017-06-20,1.3268,0.370679
2017-06-21,1.3334,0.497437
2017-06-22,1.3233,-0.757462
2017-06-23,1.3267,0.256933
2017-06-26,1.3244,-0.173362
2017-06-27,1.3199,-0.339777
2017-06-28,1.3039,-1.212213
2017-06-29,1.3004,-0.268425
2017-06-30,1.2964,-0.307598
2017-07-03,1.3007,0.331688
2017-07-04,1.2937,-0.538172
2017-07-05,1.2957,0.154595
2017-07-06,1.2978,0.162075
2017-07-07,1.2876,-0.785945
2017-07-10,1.2891,0.116496
2017-07-11,1.2915,0.186176
2017-07-12,1.2751,-1.269841
2017-07-13,1.2722,-0.227433
2017-07-14,1.2644,-0.613111
2017-07-17,1.2697,0.419171
2017-07-18,1.2628,-0.543435
2017-07-19,1.2606,-0.174216
2017-07-20,1.2589,-0.134856
2017-07-21,1.2539,-0.397172
2017-07-24,1.251,-0.231278
2017-07-25,1.2509,-0.007994
2017-07-26,1.2445,-0.511632
2017-07-27,1.2554,0.875854
2017-07-28,1.2433,-0.963836
2017-07-31,1.248,0.378026
2017-08-01,1.2538,0.464744
2017-08-02,1.257,0.255224
2017-08-03,1.2586,0.127287
2017-08-04,1.2645,0.468775
2017-08-07,1.268,0.276789
2017-08-08,1.2667,-0.102524
2017-08-09,1.27,0.260519
2017-08-10,1.2744,0.346457
2017-08-11,1.2677,-0.525738
2017-08-14,1.2722,0.354974
2017-08-15,1.2757,0.275114
2017-08-16,1.2618,-1.089598
2017-08-17,1.2682,0.507212
2017-08-18,1.2585,-0.764864
2017-08-21,1.2558,-0.214541
2017-08-22,1.2565,0.055741
2017-08-23,1.2554,-0.087545
2017-08-24,1.252,-0.27083
2017-08-25,1.2481,-0.311502
2017-08-28,1.2508,0.216329
2017-08-29,1.2512,0.03198
2017-08-30,1.2621,0.871164
2017-08-31,1.2482,-1.101339
2017-09-01,1.2394,-0.705015
2017-09-04,1.2416,0.177505
2017-09-05,1.2374,-0.338273
2017-09-06,1.2226,-1.196056
2017-09-07,1.2115,-0.907901
2017-09-08,1.2159,0.363186
2017-09-11,1.211,-0.402994
2017-09-12,1.2186,0.627581
2017-09-13,1.2172,-0.114886
2017-09-14,1.2165,-0.057509
2017-09-15,1.2198,0.27127
2017-09-18,1.2291,0.76242
2017-09-19,1.2292,0.008136
2017-09-20,1.2323,0.252197
2017-09-21,1.2327,0.03246
2017-09-22,1.2339,0.097347
2017-09-25,1.2371,0.25934
2017-09-26,1.2349,-0.177835
2017-09-27,1.2477,1.036521
2017-09-28,1.2428,-0.392723
2017-09-29,1.2472,0.354039
2017-10-02,1.2508,0.288647
2017-10-03,1.2487,-0.167893
2017-10-04,1.2476,-0.088092
2017-10-05,1.2565,0.71337
2017-10-06,1.2529,-0.28651
2017-10-09,1.2551,0.175593
2017-10-10,1.2515,-0.28683
2017-10-11,1.2458,-0.455453
2017-10-12,1.2475,0.136459
2017-10-13,1.2468,-0.056112
2017-10-16,1.2518,0.401027
2017-10-17,1.2522,0.031954
2017-10-18,1.2467,-0.439227
2017-10-19,1.2485,0.144381
2017-10-20,1.2627,1.137365
2017-10-23,1.2647,0.158391
2017-10-24,1.2675,0.221396
2017-10-25,1.2796,0.954635
2017-10-26,1.2847,0.398562
2017-10-27,1.2808,-0.303573
2017-10-30,1.2833,0.195191
2017-10-31,1.2888,0.428583
2017-11-01,1.2865,-0.178461
2017-11-02,1.2809,-0.43529
2017-11-03,1.2764,-0.351315
2017-11-06,1.2704,-0.470072
2017-11-07,1.2777,0.574622
2017-11-08,1.2729,-0.375675
2017-11-09,1.2683,-0.36138
2017-11-10,1.2682,-0.007885
2017-11-13,1.2733,0.402145
2017-11-14,1.2731,-0.015707
2017-11-15,1.2764,0.25921
2017-11-16,1.2757,-0.054842
2017-11-17,1.2763,0.047033
2017-11-20,1.282,0.446603
2017-11-21,1.2778,-0.327613
2017-11-22,1.2696,-0.641728
2017-11-23,1.2713,0.1339
2017-11-24,1.2712,-0.007866
2017-11-27,1.2769,0.448395
2017-11-28,1.2815,0.360247
2017-11-29,1.2865,0.390168
2017-11-30,1.2897,0.248737
2017-12-01,1.2685,-1.643793
2017-12-04,1.2673,-0.0946
2017-12-05,1.2691,0.142034
2017-12-06,1.2789,0.772201
2017-12-07,1.2854,0.508249
2017-12-08,1.2848,-0.046678
2017-12-11,1.2856,0.062267
2017-12-12,1.2866,0.077785
2017-12-13,1.2817,-0.380849
2017-12-14,1.2797,-0.156043
2017-12-15,1.2866,0.539189
2017-12-18,1.2862,-0.03109
2017-12-19,1.2878,0.124397
2017-12-20,1.2835,-0.333903
2017-12-21,1.274,-0.740164
2017-12-22,1.2729,-0.086342
2017-12-25,1.2727,-0.015712
2017-12-26,1.2687,-0.314292
2017-12-27,1.2655,-0.252227
2017-12-28,1.257,-0.671671
2017-12-29,1.2571,0.007955
2018-01-01,1.2545,-0.206825
2018-01-02,1.2512,-0.263053
2018-01-03,1.2536,0.191816
2018-01-04,1.2487,-0.390874
2018-01-05,1.2412,-0.600625
2018-01-08,1.2421,0.07251
2018-01-09,1.2464,0.346188
2018-01-10,1.2547,0.665918
2018-01-11,1.2519,-0.223161
2018-01-12,1.2459,-0.479272
2018-01-15,1.2429,-0.24079
2018-01-16,1.2435,0.048274
2018-01-17,1.2438,0.024125
2018-01-18,1.2418,-0.160798
2018-01-19,1.2493,0.603962
2018-01-22,1.2444,-0.39222
2018-01-23,1.2419,-0.2009
2018-01-24,1.2348,-0.571705
2018-01-25,1.2377,0.234856
2018-01-26,1.2308,-0.557486
2018-01-29,1.234,0.259993
2018-01-30,1.2336,-0.032415
2018-01-31,1.2315,-0.170233
2018-02-01,1.2268,-0.381648
2018-02-02,1.2429,1.312357
2018-02-05,1.2539,0.885027
2018-02-06,1.2492,-0.374831
2018-02-07,1.2568,0.608389
2018-02-08,1.2603,0.278485
2018-02-09,1.2581,-0.174562
2018-02-12,1.2577,-0.031794
2018-02-13,1.2592,0.119265
2018-02-14,1.2493,-0.786213
2018-02-15,1.2481,-0.096054
2018-02-16,1.2558,0.616938
2018-02-19,1.2561,0.023889
2018-02-20,1.2648,0.69262
2018-02-21,1.2703,0.434851
2018-02-22,1.2705,0.015744
2018-02-23,1.2633,-0.566706
2018-02-26,1.2681,0.379957
2018-02-27,1.2776,0.749152
2018-02-28,1.2831,0.430495
2018-03-01,1.2837,0.046762
2018-03-02,1.2882,0.350549
2018-03-05,1.2964,0.636547
2018-03-06,1.2876,-0.678803
2018-03-07,1.2912,0.27959
2018-03-08,1.2896,-0.123916
2018-03-09,1.2812,-0.651365
2018-03-12,1.2842,0.234155
2018-03-13,1.2966,0.965582
2018-03-14,1.2955,-0.084837
2018-03-15,1.3052,0.748746
2018-03-16,1.3096,0.337113
2018-03-19,1.3078,-0.137447
2018-03-20,1.3071,-0.053525
2018-03-21,1.2903,-1.285288
2018-03-22,1.2939,0.279005
2018-03-23,1.2895,-0.340057
2018-03-26,1.2843,-0.403257
2018-03-27,1.2886,0.334813
2018-03-28,1.2923,0.287133
2018-03-29,1.2884,-0.301788
2018-03-30,1.29,0.124185
2018-04-02,1.2913,0.100775
2018-04-03,1.2807,-0.820878
2018-04-04,1.277,-0.288905
2018-04-05,1.275,-0.156617
2018-04-06,1.2782,0.25098
2018-04-09,1.2697,-0.664998
2018-04-10,1.2602,-0.748208
2018-04-11,1.2581,-0.16664
2018-04-12,1.2587,0.047691
2018-04-13,1.2608,0.166839
2018-04-16,1.2567,-0.32519
2018-04-17,1.2551,-0.127318
2018-04-18,1.263,0.629432
2018-04-19,1.2672,0.332542
2018-04-20,1.2761,0.702336
2018-04-23,1.2849,0.689601
2018-04-24,1.2833,-0.124523
2018-04-25,1.2844,0.085717
2018-04-26,1.287,0.202429
2018-04-27,1.2828,-0.32634
2018-04-30,1.2843,0.116932
2018-05-01,1.2849,0.046718
2018-05-02,1.2884,0.272395
2018-05-03,1.2847,-0.287178
2018-05-04,1.2846,-0.007784
2018-05-07,1.2881,0.272458
2018-05-08,1.295,0.535673
2018-05-09,1.2854,-0.741313
2018-05-10,1.2767,-0.676832
2018-05-11,1.2795,0.219315
2018-05-14,1.2813,0.14068
2018-05-15,1.2877,0.499493
2018-05-16,1.279,-0.675623
2018-05-17,1.2808,0.140735
2018-05-18,1.2885,0.601187
2018-05-21,1.2789,-0.745052
2018-05-22,1.2819,0.234577
2018-05-23,1.2833,0.109213
2018-05-24,1.2882,0.381828
2018-05-25,1.2973,0.706412
2018-05-28,1.2993,0.154166
2018-05-29,1.3018,0.192411
2018-05-30,1.2873,-1.113842
2018-05-31,1.2958,0.660297
2018-06-01,1.2951,-0.054021
2018-06-04,1.2931,-0.154428
2018-06-05,1.297,0.301601
2018-06-06,1.2944,-0.200463
2018-06-07,1.2972,0.216316
2018-06-08,1.2928,-0.339192
2018-06-11,1.2978,0.386757
2018-06-12,1.3015,0.285098
2018-06-13,1.2987,-0.215136
